Date,Close,High,Low,Open,Volume
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2022-08-04,688.984130859375,696.1053785024752,679.8659665183745,692.8815779882993,12012206
2022-08-05,686.650390625,691.4139038718322,683.8114894442461,689.5133149490085,9268982
2022-08-08,703.4913330078125,704.6701705018421,686.6744848885744,687.1075476112192,15357736
2022-08-10,705.5363159179688,708.0383647964982,697.2361719881424,703.154500244152,17353102
2022-08-11,714.8709106445312,717.421123242461,709.5059371613006,715.2558683433389,18301766
2022-08-12,714.6063232421875,716.6031812290219,710.1795445295438,714.5341363296417,8850370
2022-08-16,722.7861328125,725.8415362160341,716.0016794217771,719.2495616686834,12563756
2022-08-17,726.5151977539062,727.8865140946783,714.8949848396419,721.7516252798,12384350
2022-08-18,727.3812255859375,728.4398298215469,721.5831897478574,721.7515867041628,8342138
2022-08-19,718.4075317382812,727.5256370949188,716.939946608088,726.563301596116,8063702
2022-08-22,707.4849853515625,716.1460048012029,706.2098790742172,714.4378945404134,8234066
2022-08-23,705.2957153320312,710.1795210324121,697.8857201939286,699.2811184238794,14966884
2022-08-24,708.6879272460938,709.9630335639699,702.1199755407531,703.4191637412739,13455520
2022-08-25,704.8385620117188,715.4002292936442,701.0614069473538,712.0801600941289,11823040
2022-08-26,704.9589233398438,712.9944607425392,703.0823571957231,708.3030747503891,7706176
2022-08-29,692.5928955078125,695.7685910224809,687.3962601301372,691.4380811198513,8653178
2022-08-30,715.0633544921875,716.9158385123882,694.3731420244557,695.9850421787525,10135400
2022-09-01,708.35107421875,716.6752405737923,702.0237069224642,704.7904213260312,22403136
2022-09-02,714.7747192382812,717.1805580778581,705.0069900550793,708.351141283871,12038086
2022-09-05,719.369873046875,721.2704621778411,714.101050906599,715.0633864131738,12131932
2022-09-06,716.6271362304688,724.9513613297232,715.2317380870402,721.2223114778902,12238696
2022-09-07,713.2349853515625,716.9399535633776,707.9421400567993,707.9421400567993,9776206
2022-09-08,720.5968017578125,721.7516160908172,713.1627836065959,716.9880436773584,11164690
2022-09-09,721.0780029296875,726.0821594471598,718.8887248344994,719.9231885431478,15128888
2022-09-12,718.6480712890625,723.676250465666,716.9399023895229,721.751579586768,11080492
2022-09-13,728.054931640625,729.4022248737516,721.0539759192867,721.2223728893526,13001966
2022-09-14,735.537109375,740.4690789237419,718.0706961615213,718.8887165967504,20219760
2022-09-15,731.7117919921875,741.4554391702014,727.5256559583752,736.1866756721654,13539372
2022-09-16,718.2631225585938,728.8247306434838,713.5717372328886,723.243196772468,20560046
2022-09-19,723.002685546875,728.4880099183553,712.1283056005058,716.4588155669953,12076038
2022-09-20,731.7117919921875,733.299669100902,726.5152154056927,728.4879914821296,10781668
2022-09-21,730.5811157226562,732.0968060364729,724.1575373545131,725.6010407512331,9072304
2022-09-22,715.0153198242188,726.6355334380704,713.4515245419652,722.7140042906975,12048144
2022-09-23,695.8407592773438,709.7224372346395,691.438062580459,708.4473309391279,15806252
2022-09-26,686.4579467773438,691.1733552416581,682.2958342078718,685.8324052401812,8923486
2022-09-27,680.2990112304688,692.881559633574,677.0030238919713,689.2246964827675,12639700
2022-09-28,668.606689453125,678.735235635856,666.8504153685985,676.5218756703962,11816132
2022-09-29,665.1422119140625,674.6933797809945,663.434101683277,671.8545371114053,14410388
2022-09-30,683.9077758789062,688.7675584504451,656.7939846693048,663.4341231736677,15781756
2022-10-03,679.9862670898438,682.22370896109,674.1641488370536,678.4224718418965,11541112
2022-10-04,699.1367797851562,701.5426186694823,686.2174367235855,687.8293370288237,11538526
2022-10-06,691.4381103515625,703.7559939592081,690.0908170525987,702.4808875755999,12549198
2022-10-07,688.454833984375,690.4516331398249,683.4265958004532,688.1901682297433,13297994
2022-10-10,680.8523559570312,686.1452011270152,672.7687143847188,677.4841817579505,13109302
2022-10-11,673.9476318359375,681.8147129301799,673.3701952846903,674.1641338324686,14521620
2022-10-12,678.3502807617188,680.7801425260418,672.3356842119671,675.1745267944143,9225050
2022-10-13,670.555419921875,676.6422042083251,665.9362208884066,674.6213229862772,14714234
2022-10-14,692.400390625,696.249732615966,680.9726565893199,681.8147001498437,12849920
2022-10-17,696.033203125,701.3500712981873,686.6263505116987,690.475692350587,18410500
2022-10-18,694.734130859375,703.9004011362196,692.8816465377677,701.5667490045165,10561108
2022-10-19,701.8554077148438,710.8773037655702,699.3292768206403,704.4296436407238,12967040
2022-10-20,697.1158447265625,699.0886207119449,694.084464472131,694.8062160816341,7898078
2022-10-21,692.2078857421875,701.3741545079234,689.9945259278926,698.6555450817992,10492606
2022-10-24,703.0101928710938,703.9484465267632,699.7623104281301,699.7623104281301,2167794
2022-10-25,698.1263427734375,706.2580899913314,695.2874411281454,703.0342306280569,13773394
2022-10-27,699.8103637695312,706.0414624275766,698.2946736608377,704.6701461335379,15937276
2022-10-28,701.87939453125,705.8731104708331,696.4422340345699,697.6932584749202,10474278
2022-10-31,720.1637573242188,720.7892989018973,705.9933903964011,708.2789372387135,12830528
2022-11-01,728.1271362304688,735.7055286941263,721.2223903997298,723.4357504196331,19073756
2022-11-02,728.5841674804688,735.34459771333,727.33314310533,729.931460645262,12720406
2022-11-03,725.3843994140625,731.4952057919731,720.3080566160722,720.6448505160986,10332352
2022-11-04,720.3803100585938,729.4984154442802,716.7474700445205,723.2913397099678,10818060
2022-11-07,725.9859619140625,727.5256752984809,717.9504248353214,726.5633397491442,9835834
2022-11-09,725.7693481445312,730.38854669658,723.6762802249166,728.9932072410344,9269790
2022-11-10,733.6605834960938,734.743211017239,719.3699237114974,720.3562824334263,12774182
2022-11-11,775.2333984375,787.6715724866862,740.0359673088109,743.404141412297,56722338
2022-11-14,777.1100463867188,783.3411456416203,768.906112245276,775.6424611635699,19195390
2022-11-15,779.0105590820312,781.0074169195871,772.3945027587589,781.0074169195871,11030202
